dataset,k,ks,order,scaling,metric,mean,std
wine,4,45,1,learned,r2,0.29290426229189376,0.04233833808399373
wine,4,45,1,no_scaling,r2,0.29215002729004513,0.0406762021965345
wine,4,45,2,learned,r2,0.2967784669188157,0.03680190193103612
wine,4,45,2,no_scaling,r2,0.29215010039391914,0.040676143884776826
wine,4,54,1,learned,r2,0.3279506305388559,0.045941058905085576
wine,4,54,1,no_scaling,r2,0.3234934413460802,0.04028201677688218
wine,4,54,2,learned,r2,0.32801550676556546,0.03641909628103534
wine,4,54,2,no_scaling,r2,0.32349346683516245,0.04028195647045203
wine,4,65,1,learned,r2,0.34982714673534865,0.037749122888231686
wine,4,65,1,no_scaling,r2,0.3491785518743428,0.04030637085991786
wine,4,65,2,learned,r2,0.3474243654365421,0.04069852434007137
wine,4,65,2,no_scaling,r2,0.349178510758438,0.04030630519543562
wine,4,72,1,learned,r2,0.3534828224517282,0.04120722734468482
wine,4,72,1,no_scaling,r2,0.35770058163681645,0.04174587396647838
wine,4,72,2,learned,r2,0.35930958805172386,0.045583494775918346
wine,4,72,2,no_scaling,r2,0.35770062427153526,0.04174586064665117
wine,4,86,1,learned,r2,0.362763809405071,0.04154091434429124
wine,4,86,1,no_scaling,r2,0.37046120178207,0.042803409693912074
wine,4,86,2,learned,r2,0.36174601476751145,0.042293910375327315
wine,4,86,2,no_scaling,r2,0.37046119615571466,0.04280349046754143
wine,4,92,1,learned,r2,0.3767030764278273,0.04291545780235184
wine,4,92,1,no_scaling,r2,0.37235419699726463,0.04390138986498661
wine,4,92,2,learned,r2,0.36689926963064246,0.044346974323155534
wine,4,92,2,no_scaling,r2,0.3723541742056229,0.043901452542747
wine,4,94,1,learned,r2,0.37286703288147754,0.03753951155026222
wine,4,94,1,no_scaling,r2,0.3746753200325267,0.043468098953373335
wine,4,94,2,learned,r2,0.3763804465937712,0.04378511695811616
wine,4,94,2,no_scaling,r2,0.374675333287283,0.043468106928324195
wine,4,99,1,learned,r2,0.37062400736183615,0.03405465524901746
wine,4,99,1,no_scaling,r2,0.3790092129792782,0.04187018048341148
wine,4,99,2,learned,r2,0.37403944732520705,0.04612092355008294
wine,4,99,2,no_scaling,r2,0.37900923619684374,0.04187021344015645
