dataset,k,weights,scaling,metric,mean,std
house_16H,10,uniform,0,r2,0.4539391950279388,0.06617707804645319
house_16H,10,uniform,1,r2,0.45200233714270066,0.057889422641086444
house_16H,10,distance,0,r2,0.45728752256641814,0.06841296231700206
house_16H,10,distance,1,r2,0.45495625713047155,0.058927397275281894
house_16H,25,uniform,0,r2,0.4516192256431105,0.060181483629520575
house_16H,25,uniform,1,r2,0.44112526449000145,0.05571177119792621
house_16H,25,distance,0,r2,0.4563581798965009,0.06255932217914015
house_16H,25,distance,1,r2,0.4471018880448752,0.05703195984576986
house_16H,50,uniform,0,r2,0.43181679990882743,0.06566950198252028
house_16H,50,uniform,1,r2,0.42111452476423006,0.06508172641449975
house_16H,50,distance,0,r2,0.43866503152317665,0.06541130531132959
house_16H,50,distance,1,r2,0.42928648922301427,0.06253533471560453
house_16H,100,uniform,0,r2,0.4075475723807339,0.07161996817307859
house_16H,100,uniform,1,r2,0.39529048669255873,0.06718119819856708
house_16H,100,distance,0,r2,0.41596633536443833,0.06946231989544996
house_16H,100,distance,1,r2,0.40480891786437534,0.06443432056220373
house_16H,250,uniform,0,r2,0.3676521471533486,0.06974684824390384
house_16H,250,uniform,1,r2,0.35148407112230184,0.06599042218260508
house_16H,250,distance,0,r2,0.3777003507327576,0.0685966684848034
house_16H,250,distance,1,r2,0.363358204885162,0.06430156868996245
Bike_Sharing_Demand,2,uniform,0,r2,0.5398436522828828,0.019226074198530584
Bike_Sharing_Demand,2,uniform,1,r2,0.5933469248799862,0.01759026335573553
Bike_Sharing_Demand,2,distance,0,r2,0.5441363900286631,0.020116758105591215
Bike_Sharing_Demand,2,distance,1,r2,0.5881997644866602,0.019211250535410517
Bike_Sharing_Demand,5,uniform,0,r2,0.5989774667826023,0.017921433569209038
Bike_Sharing_Demand,5,uniform,1,r2,0.6571404733026671,0.026627705677718477
Bike_Sharing_Demand,5,distance,0,r2,0.6068836137132742,0.017734242975301837
Bike_Sharing_Demand,5,distance,1,r2,0.6550783004159108,0.022983003528355358
Bike_Sharing_Demand,7,uniform,0,r2,0.6022740730580559,0.018207547599978332
Bike_Sharing_Demand,7,uniform,1,r2,0.6651539461407814,0.0251175631487932
Bike_Sharing_Demand,7,distance,0,r2,0.6126975270083804,0.016982091970709233
Bike_Sharing_Demand,7,distance,1,r2,0.6640767934096786,0.020913520559277546
Bike_Sharing_Demand,10,uniform,0,r2,0.5998213387091251,0.01603117893312441
Bike_Sharing_Demand,10,uniform,1,r2,0.6648538153562219,0.024222511493825656
Bike_Sharing_Demand,10,distance,0,r2,0.6122751732198743,0.015834275538060206
Bike_Sharing_Demand,10,distance,1,r2,0.6654813830784623,0.019282596519848882
Bike_Sharing_Demand,25,uniform,0,r2,0.5847241981490539,0.016159469112042222
Bike_Sharing_Demand,25,uniform,1,r2,0.6550891774127496,0.026434599681974053
Bike_Sharing_Demand,25,distance,0,r2,0.5991019235382427,0.015828231016640902
Bike_Sharing_Demand,25,distance,1,r2,0.6596522705205116,0.02131760135390334
